YR,YR_AVG_LIGHT_CORRECTED_DN,YR_SPLASHZONE_CT,YR_POSTSURF_CT,YR_SURFZONE_CT
1992,7.578254386,1,0,0
1993,8.006515679,0,1,0
1996,9.006681895,2,1,0
2011,9.406685736,1,1,3
2000,9.682502828,0,1,1
2012,9.723489475,0,4,3
2001,9.811414302,0,0,3
1998,9.961493236,0,1,0
1994,10.05151032,0,0,0
2002,10.11893253,1,1,1
2010,10.13815086,1,0,5
1999,10.4843794,0,0,1
2013,10.60936942,1,2,3
1997,10.61237653,0,0,0
2009,10.61668471,2,5,12
1995,10.69402754,0,0,0
2003,10.76609308,1,0,1
2008,11.07557229,1,3,2
2007,11.1151958,3,2,5
2004,11.51385276,0,3,1
2006,11.79116997,0,0,2
2005,12.68034365,1,1,1
