YR,MO,MO_AVG_RAD_NW_CM2_SR,MO_SPLASHZONE_CT,MO_POSTSURF_CT,MO_SURFZONE_CT
2012,1,2.84661441,0,0,2
2012,2,2.77380433,0,1,0
2012,3,2.788528881,0,0,0
2012,4,3.052274929,0,0,0
2012,5,2.886138876,0,0,0
2012,6,2.931778293,0,1,0
2012,7,3.048459419,0,0,0
2012,8,2.796950846,0,0,0
2012,9,2.879220845,0,0,0
2012,10,2.762749919,0,0,0
2012,11,2.809485613,0,0,0
2012,12,2.693093899,0,2,1
2013,1,2.85296618,0,0,0
2013,2,2.692588202,0,0,0
2013,3,2.84199822,0,0,0
2013,4,2.858189534,0,1,0
2013,5,3.129630823,0,0,0
2013,6,3.221077526,0,0,1
2013,7,2.890330699,0,0,0
2013,8,2.876131277,0,1,0
2013,9,2.878479224,0,0,0
2013,10,3.009588798,0,0,1
2013,11,2.897195715,1,0,0
2013,12,2.956057578,0,0,1
2014,1,2.722103457,0,0,0
2014,2,2.941227907,0,0,0
2014,3,2.54997572,1,0,0
2014,4,2.981107788,1,0,0
2014,5,2.970217382,0,0,0
2014,6,2.797428425,0,0,1
2014,7,2.869632486,0,0,0
2014,8,2.957589179,0,0,0
2014,9,2.871709465,1,0,0
2014,10,2.897090206,0,0,2
2014,11,3.017001746,0,0,1
2014,12,2.841197286,0,0,1
2015,1,2.741575737,0,1,0
2015,2,2.917553012,0,0,2
2015,3,2.843874664,0,1,0
2015,4,3.167489524,0,1,0
2015,5,3.033257625,0,0,1
2015,6,2.759910896,0,1,0
2015,7,2.694184667,1,0,2
2015,8,2.831396904,0,0,1
2015,9,2.904737078,0,1,1
2015,10,3.177581831,0,0,0
2015,11,2.713966202,0,0,1
2015,12,2.986789277,0,1,1
2016,1,2.838235322,0,0,0
2016,2,2.825569412,0,1,0
2016,3,2.99784628,0,0,2
2016,4,2.978867006,1,0,0
2016,5,3.128070238,0,0,0
2016,6,2.94965296,0,0,0
2016,7,3.253214596,0,0,1
2016,8,2.763490574,0,0,0
2016,9,3.003173873,0,0,1
2016,10,2.84379405,0,0,2
2016,11,3.124106558,0,0,0
2016,12,3.05020906,0,1,1
2017,1,2.722554404,1,0,0
2017,2,2.866983058,0,0,0
2017,3,2.861318559,1,0,0
2017,4,3.015349927,0,0,0
2017,5,2.991512559,0,0,0
2017,6,3.159185545,0,0,0
2017,7,2.867318791,0,0,0
2017,8,3.014342737,0,0,0
2017,9,3.09112183,0,0,1
2017,10,2.97771214,0,0,1
2017,11,3.128452208,0,0,1
2017,12,3.100440714,0,0,1
2018,1,3.035398455,0,0,0
2018,2,3.099724302,2,0,0
2018,3,3.170101165,0,0,0
2018,4,3.410202267,0,0,1
2018,5,3.247789386,0,0,1
2018,6,3.044333045,0,0,0
2018,7,3.16215348,0,0,0
2018,8,3.22192198,0,0,0
2018,9,3.197690829,0,0,0
2018,10,2.931692646,1,0,0
2018,11,3.073862953,0,0,3
2018,12,3.024613979,0,0,1
2019,1,2.980540349,0,0,0
2019,2,3.149328633,0,0,2
2019,3,3.108233745,0,0,0
2019,4,3.195606555,0,0,0
2019,5,3.317487319,0,0,0
2019,6,3.464645263,0,0,1
2019,7,3.045041325,0,0,0
2019,8,3.338786185,0,1,0
2019,9,3.389160721,0,0,0
2019,10,3.329719013,0,0,1
2019,11,3.452695258,0,0,0
2019,12,3.559049197,0,0,0
2020,1,3.054075,0,0,1
2020,2,3.396973467,0,0,0
2020,3,3.296642426,0,0,0
2020,4,3.160413065,1,0,1
2020,5,3.12912227,0,0,0
2020,6,3.159268081,0,0,1
2020,7,3.322594396,0,0,1
2020,8,3.294161995,0,1,1
2020,9,3.276594412,0,1,0
2020,10,3.199940437,0,0,0
2020,11,3.174190498,0,0,1
2020,12,3.070449182,0,0,0
2021,1,3.364732328,1,0,0
2021,2,2.979057867,0,0,0
2021,3,3.217534927,0,0,0
2021,4,3.31476482,0,0,0
2021,5,3.374677596,0,0,1
2021,6,3.131397124,0,0,0
2021,7,3.219301744,0,0,1
2021,8,3.379153077,0,0,0
2021,9,3.399933207,0,0,1
2021,10,3.560314427,0,0,0
2021,11,3.412780084,0,0,0
2021,12,3.361470832,0,0,0
2022,1,3.372203836,0,0,0
2022,2,3.455019617,1,0,0
2022,3,3.130350872,1,0,2
2022,4,3.395543708,0,0,0
2022,5,3.203432923,0,0,0
2022,6,3.350797548,0,0,0
2022,7,3.1536584,0,0,0
2022,8,3.196090426,0,0,1
2022,9,3.377365818,0,0,0
2022,10,3.479345693,0,0,0
2022,11,3.566514375,0,0,0
2022,12,3.556489184,1,0,0
2023,1,3.531020149,0,0,0
2023,2,3.574522087,0,0,0
2023,3,3.53708645,0,0,0
2023,4,3.545833485,0,0,0
2023,5,3.737866187,0,0,0
2023,6,3.687198931,0,0,0
2023,7,3.70815984,0,0,0
2023,8,3.70499093,0,0,1
2023,9,3.780096495,0,0,0
2023,10,3.807142026,0,0,0
2023,11,3.660190928,0,0,0
2023,12,3.524120692,0,0,1
2024,1,3.478528441,1,0,0
2024,2,3.320961745,0,0,0
2024,3,3.648572665,0,0,0
2024,4,3.663063573,0,0,0
2024,5,3.180282434,0,0,0
2024,6,3.406312235,0,0,0
2024,7,3.393733066,0,0,1
2024,8,3.991148699,0,0,0
2024,9,3.864647304,0,0,0
2024,10,3.603916316,0,0,0
2024,11,4.316659643,0,0,0
2024,12,3.752082712,0,0,0
