YR,SHOREZONE,INTERACT_TIME,YR_AVG_LIGHT_CORRECTED_DN
1996,SPLASHZONE,0,9.0066819
2011,SURFZONE,5.75,9.40668574
2003,SPLASHZONE,6,10.7660931
2011,SURFZONE,6,9.40668574
2005,SURFZONE,6.16666667,12.6803437
2009,SURFZONE,6.25,10.6166847
2007,SURFZONE,6.5,11.1151958
2009,SURFZONE,6.75,10.6166847
2009,POSTSURF,7,10.6166847
2009,POSTSURF,7,10.6166847
2009,SURFZONE,7,10.6166847
2004,POSTSURF,7.16666667,11.5138528
2009,SURFZONE,7.5,10.6166847
2009,POSTSURF,7.5,10.6166847
2009,SURFZONE,7.75,10.6166847
2007,SPLASHZONE,8,11.1151958
2009,SURFZONE,8,10.6166847
2009,POSTSURF,8,10.6166847
2010,SURFZONE,8,10.1381509
2010,SURFZONE,8,10.1381509
2008,SPLASHZONE,8.08333333,11.0755723
2009,SURFZONE,8.75,10.6166847
2009,SURFZONE,9,10.6166847
1993,POSTSURF,9.5,8.00651568
1996,POSTSURF,10,9.0066819
2001,SURFZONE,10,9.8114143
2008,POSTSURF,10,11.0755723
2007,SURFZONE,10,11.1151958
2007,POSTSURF,10.5,11.1151958
2009,POSTSURF,10.75,10.6166847
2012,POSTSURF,10.75,9.72348948
2007,SURFZONE,11,11.1151958
2008,POSTSURF,11,11.0755723
2009,SURFZONE,11,10.6166847
2009,SPLASHZONE,11,10.6166847
2007,POSTSURF,11.5,11.1151958
2008,SURFZONE,12,11.0755723
2007,SPLASHZONE,12.25,11.1151958
2012,SURFZONE,12.75,9.72348948
2004,SURFZONE,13,11.5138528
2011,POSTSURF,13,9.40668574
2004,POSTSURF,13.5,11.5138528
2006,SURFZONE,13.5,11.79117
2010,SURFZONE,13.5,10.1381509
2004,POSTSURF,14,11.5138528
2013,POSTSURF,14,10.6093694
2013,SPLASHZONE,14,10.6093694
2007,SURFZONE,14.3333333,11.1151958
2012,POSTSURF,14.5,9.72348948
2013,POSTSURF,15,10.6093694
2008,SURFZONE,15.5,11.0755723
2010,SPLASHZONE,15.5,10.1381509
2012,POSTSURF,16,9.72348948
2013,SURFZONE,16,10.6093694
2001,SURFZONE,16.25,9.8114143
2009,SPLASHZONE,16.5,10.6166847
2010,SURFZONE,16.5,10.1381509
2012,SURFZONE,16.75,9.72348948
2012,POSTSURF,16.75,9.72348948
2006,SURFZONE,17,11.79117
2009,SURFZONE,17,10.6166847
2010,SURFZONE,17,10.1381509
2011,SPLASHZONE,17,9.40668574
2008,POSTSURF,17.3333333,11.0755723
2003,SURFZONE,17.5,10.7660931
2001,SURFZONE,17.75,9.8114143
2011,SURFZONE,17.75,9.40668574
2005,SPLASHZONE,18,12.6803437
2013,SURFZONE,18.25,10.6093694
2013,SURFZONE,18.25,10.6093694
2002,SPLASHZONE,18.5,10.1189325
2007,SURFZONE,18.5,11.1151958
2009,SURFZONE,18.75,10.6166847
2000,POSTSURF,19.25,9.68250283
2002,POSTSURF,19.25,10.1189325
1996,SPLASHZONE,19.5,9.0066819
1999,SURFZONE,19.5,10.4843794
2000,SURFZONE,19.5,9.68250283
2009,SURFZONE,19.5,10.6166847
1992,SPLASHZONE,20,7.57825439
1998,POSTSURF,20,9.96149324
2012,SURFZONE,20,9.72348948
2007,SPLASHZONE,20.5,11.1151958
2002,SURFZONE,20.75,10.1189325
2005,POSTSURF,23,12.6803437
