YR,SHOREZONE,INTERACT_TIME,YR_AVG_LIGHT_CORRECTED_DN
2007,SURFZONE,6,19.08996636
2011,SURFZONE,6.5,17.20925658
2007,SPLASHZONE,7,19.08996636
2000,SPLASHZONE,7.83333333,16.75303417
1994,SURFZONE,8,15.81054785
2003,SURFZONE,8,18.08259038
1994,SURFZONE,8.5,15.81054785
1995,SPLASHZONE,8.5,18.27694297
1997,SPLASHZONE,8.5,17.4013463
1998,SURFZONE,8.5,17.56697236
1998,SURFZONE,8.75,17.56697236
2008,SURFZONE,8.75,19.62011885
2003,SURFZONE,9,18.08259038
2008,SURFZONE,9,19.62011885
2010,SURFZONE,9,17.46099863
1997,SPLASHZONE,9.25,17.4013463
1999,SURFZONE,9.25,17.396513
2009,SURFZONE,9.58333333,18.78659277
2008,SURFZONE,9.83333333,19.62011885
2001,SURFZONE,10,16.30712785
2008,SURFZONE,10,19.62011885
2003,SPLASHZONE,10.1166667,18.08259038
2009,SURFZONE,10.2666667,18.78659277
1997,SPLASHZONE,10.4166667,17.4013463
2009,SURFZONE,10.45,18.78659277
1994,SURFZONE,10.5,15.81054785
2008,SURFZONE,10.5,19.62011885
2012,SURFZONE,10.5,16.14583426
2002,SURFZONE,10.6666667,16.88375719
2001,SURFZONE,10.9166667,16.30712785
2002,SURFZONE,10.9166667,16.88375719
2001,SURFZONE,11,16.30712785
2008,SPLASHZONE,11,19.62011885
2008,SURFZONE,11,19.62011885
2011,SURFZONE,11,17.20925658
1996,SURFZONE,11.1,15.91130404
1998,SURFZONE,11.1666667,17.56697236
2002,SURFZONE,11.1666667,16.88375719
2005,SPLASHZONE,11.1666667,20.30268392
2005,SURFZONE,11.25,20.30268392
2007,SPLASHZONE,11.25,19.08996636
2007,SURFZONE,11.25,19.08996636
1997,SPLASHZONE,11.3333333,17.4013463
2001,SURFZONE,11.3333333,16.30712785
1999,SPLASHZONE,11.4166667,17.396513
1995,SURFZONE,11.5,18.27694297
2005,SURFZONE,11.5,20.30268392
2006,SURFZONE,11.5,19.50255681
2008,SPLASHZONE,11.5,19.62011885
2003,SURFZONE,11.6666667,18.08259038
2000,SPLASHZONE,11.75,16.75303417
2003,SURFZONE,11.75,18.08259038
2008,SURFZONE,11.75,19.62011885
2008,SURFZONE,11.75,19.62011885
1997,SPLASHZONE,11.8,17.4013463
2001,SURFZONE,11.8833333,16.30712785
2003,SURFZONE,11.9166667,18.08259038
2000,SPLASHZONE,11.95,16.75303417
2002,SURFZONE,12,16.88375719
2006,SPLASHZONE,12,19.50255681
2008,SPLASHZONE,12,19.62011885
2008,SURFZONE,12,19.62011885
2008,SURFZONE,12,19.62011885
2008,SURFZONE,12,19.62011885
2008,SPLASHZONE,12,19.62011885
2010,SURFZONE,12,17.46099863
2011,SPLASHZONE,12,17.20925658
2013,SPLASHZONE,12,17.29502472
2003,SPLASHZONE,12.0333333,18.08259038
2001,SURFZONE,12.0833333,16.30712785
2008,SPLASHZONE,12.0833333,19.62011885
1996,SPLASHZONE,12.25,15.91130404
2003,SPLASHZONE,12.3333333,18.08259038
2003,SURFZONE,12.3333333,18.08259038
2001,SURFZONE,12.5,16.30712785
2002,SPLASHZONE,12.5,16.88375719
2001,SPLASHZONE,12.5666667,16.30712785
2000,SPLASHZONE,12.5833333,16.75303417
2007,SURFZONE,12.65,19.08996636
1994,SPLASHZONE,12.75,15.81054785
2001,SURFZONE,12.7666667,16.30712785
2000,SPLASHZONE,12.8,16.75303417
1997,SURFZONE,13,17.4013463
2005,SURFZONE,13,20.30268392
2005,SURFZONE,13,20.30268392
2006,SURFZONE,13,19.50255681
2013,SPLASHZONE,13,17.29502472
2013,SURFZONE,13,17.29502472
2013,SPLASHZONE,13,17.29502472
2007,SPLASHZONE,13.0833333,19.08996636
2001,SURFZONE,13.1,16.30712785
2001,SURFZONE,13.2333333,16.30712785
2000,SPLASHZONE,13.3333333,16.75303417
2003,SPLASHZONE,13.3333333,18.08259038
2003,SPLASHZONE,13.3833333,18.08259038
1996,SPLASHZONE,13.4166667,15.91130404
2002,SPLASHZONE,13.4166667,16.88375719
1995,SURFZONE,13.5,18.27694297
1996,SPLASHZONE,13.5,15.91130404
2002,SURFZONE,13.5,16.88375719
2013,SURFZONE,13.5,17.29502472
1996,SPLASHZONE,13.6166667,15.91130404
1995,SPLASHZONE,13.6666667,18.27694297
1996,SURFZONE,13.6666667,15.91130404
2002,SURFZONE,13.6666667,16.88375719
2007,SPLASHZONE,13.7,19.08996636
2006,SURFZONE,13.75,19.50255681
2008,SURFZONE,13.75,19.62011885
2003,SURFZONE,13.8833333,18.08259038
2008,SPLASHZONE,13.9166667,19.62011885
2001,SPLASHZONE,14,16.30712785
2003,SURFZONE,14,18.08259038
2003,SURFZONE,14,18.08259038
2007,SURFZONE,14,19.08996636
2012,SURFZONE,14,16.14583426
1995,SURFZONE,14.1666667,18.27694297
1995,SPLASHZONE,14.1666667,18.27694297
1995,SURFZONE,14.1666667,18.27694297
1997,SPLASHZONE,14.2666667,17.4013463
2003,SURFZONE,14.3333333,18.08259038
2012,SURFZONE,14.3333333,16.14583426
2002,SPLASHZONE,14.4166667,16.88375719
1999,SURFZONE,14.5,17.396513
2000,SURFZONE,14.5,16.75303417
2005,SURFZONE,14.5,20.30268392
2008,SURFZONE,14.5,19.62011885
2002,SURFZONE,14.5833333,16.88375719
2003,SPLASHZONE,14.6166667,18.08259038
1995,SURFZONE,14.75,18.27694297
2000,SPLASHZONE,14.75,16.75303417
2001,SPLASHZONE,14.75,16.30712785
2002,SURFZONE,14.75,16.88375719
2007,SURFZONE,14.75,19.08996636
2009,SURFZONE,14.75,18.78659277
2000,SURFZONE,14.9166667,16.75303417
1992,SPLASHZONE,15,11.99378794
1994,SURFZONE,15,15.81054785
2001,SURFZONE,15,16.30712785
2002,SPLASHZONE,15,16.88375719
2006,SPLASHZONE,15,19.50255681
2008,SPLASHZONE,15,19.62011885
2012,SURFZONE,15,16.14583426
1997,SURFZONE,15.3333333,17.4013463
2003,SURFZONE,15.5,18.08259038
2006,SURFZONE,15.5,19.50255681
2011,SURFZONE,15.5,17.20925658
1998,SURFZONE,15.5833333,17.56697236
1995,SPLASHZONE,15.6666667,18.27694297
1997,SPLASHZONE,15.75,17.4013463
2000,SPLASHZONE,15.75,16.75303417
2002,SPLASHZONE,15.75,16.88375719
2003,SURFZONE,15.75,18.08259038
2009,SURFZONE,15.75,18.78659277
2001,SPLASHZONE,15.8166667,16.30712785
