YR,MO,SHOREZONE,INTERACT_TIME,MO_AVG_RAD_NW_CM2_SR
12,2017,SURFZONE,0,3.100440714
12,2016,POSTSURF,2,3.05020906
7,2015,SURFZONE,6,2.694184667
9,2017,SURFZONE,6,3.09112183
11,2020,SURFZONE,6,3.174190498
9,2015,SURFZONE,6.25,2.904737078
2,2019,SURFZONE,6.25,3.149328633
10,2014,SURFZONE,6.5,2.897090206
11,2014,SURFZONE,6.5,3.017001746
2,2019,SURFZONE,6.66666667,3.149328633
2,2015,SURFZONE,6.75,2.917553012
11,2018,SURFZONE,6.75,3.073862953
6,2014,SURFZONE,7,2.797428425
12,2015,SURFZONE,7,2.986789277
4,2018,SURFZONE,7,3.410202267
10,2018,SPLASHZONE,7,2.931692646
8,2022,SURFZONE,7,3.196090426
12,2018,SURFZONE,7.25,3.024613979
3,2015,POSTSURF,7.5,2.843874664
4,2015,POSTSURF,7.5,3.167489524
10,2016,SURFZONE,7.5,2.84379405
3,2022,SURFZONE,7.83333333,3.130350872
12,2014,SURFZONE,8,2.841197286
1,2020,SURFZONE,8,3.054075
4,2020,SPLASHZONE,8,3.160413065
4,2014,SPLASHZONE,8.33333333,2.981107788
7,2015,SPLASHZONE,9,2.694184667
7,2015,SURFZONE,9,2.694184667
9,2016,SURFZONE,9,3.003173873
12,2016,SURFZONE,9,3.05020906
10,2017,SURFZONE,9,2.97771214
8,2020,SURFZONE,9.5,3.294161995
2,2015,SURFZONE,10,2.917553012
4,2020,SURFZONE,10,3.160413065
8,2023,SURFZONE,10,3.70499093
12,2015,POSTSURF,10.5,2.986789277
10,2016,SURFZONE,10.5,2.84379405
5,2018,SURFZONE,10.5,3.247789386
9,2021,SURFZONE,10.5,3.399933207
6,2020,SURFZONE,10.6666667,3.159268081
12,2012,POSTSURF,10.75,2.693093899
9,2014,SPLASHZONE,10.75,2.871709465
6,2015,POSTSURF,11,2.759910896
3,2016,SURFZONE,11,2.99784628
7,2024,SURFZONE,11,3.393733066
5,2021,SURFZONE,11.25,3.374677596
9,2015,POSTSURF,11.5,2.904737078
4,2016,SPLASHZONE,12,2.978867006
7,2016,SURFZONE,12,3.253214596
8,2020,POSTSURF,12.5,3.294161995
12,2012,SURFZONE,12.75,2.693093899
9,2020,POSTSURF,12.75,3.276594412
11,2018,SURFZONE,13,3.073862953
6,2019,SURFZONE,13,3.464645263
1,2015,POSTSURF,13.75,2.741575737
4,2013,POSTSURF,14,2.858189534
11,2013,SPLASHZONE,14,2.897195715
8,2019,POSTSURF,14,3.338786185
6,2012,POSTSURF,14.5,2.931778293
7,2020,SURFZONE,14.5,3.322594396
8,2013,POSTSURF,15,2.876131277
5,2015,SURFZONE,15,3.033257625
3,2022,SURFZONE,15.3333333,3.130350872
2,2016,POSTSURF,15.75,2.825569412
2,2012,POSTSURF,16,2.77380433
6,2013,SURFZONE,16,3.221077526
11,2017,SURFZONE,16,3.128452208
2,2018,SPLASHZONE,16,3.099724302
10,2019,SURFZONE,16,3.329719013
7,2021,SURFZONE,16.5,3.219301744
2,2022,SPLASHZONE,16.5,3.455019617
12,2022,SPLASHZONE,16.5,3.556489184
12,2023,SURFZONE,16.5,3.524120692
3,2022,SPLASHZONE,16.6666667,3.130350872
1,2012,SURFZONE,16.75,2.84661441
12,2012,POSTSURF,16.75,2.693093899
8,2015,SURFZONE,17.1666667,2.831396904
3,2014,SPLASHZONE,18,2.54997572
10,2014,SURFZONE,18,2.897090206
1,2017,SPLASHZONE,18,2.722554404
10,2013,SURFZONE,18.25,3.009588798
12,2013,SURFZONE,18.25,2.956057578
11,2015,SURFZONE,18.25,2.713966202
3,2017,SPLASHZONE,18.5,2.861318559
11,2018,SURFZONE,18.5,3.073862953
1,2021,SPLASHZONE,18.5,3.364732328
3,2016,SURFZONE,19,2.99784628
2,2018,SPLASHZONE,19,3.099724302
1,2012,SURFZONE,20,2.84661441
1,2024,SPLASHZONE,20,3.478528441
