YR,MO,SHOREZONE,INTERACT_TIME,MO_AVG_RAD_NW_CM2_SR
2019,7,SPLASHZONE,0,3.616951405
2017,9,SURFZONE,2,3.426077483
2016,4,SURFZONE,6,3.54463036
2018,9,SURFZONE,6,3.47607371
2022,3,SURFZONE,6,4.215064657
2016,8,SURFZONE,6.25,3.272257007
2020,7,SURFZONE,6.25,3.686393224
2014,4,SURFZONE,6.5,3.896425166
2014,5,SURFZONE,6.5,3.830700208
2020,8,SPLASHZONE,6.66666667,3.507594174
2014,9,SURFZONE,6.75,3.228706056
2019,8,SURFZONE,6.75,3.553099158
2013,9,SPLASHZONE,7,3.605016243
2016,9,SURFZONE,7,3.526344052
2019,8,SURFZONE,7,3.553099158
2019,8,SPLASHZONE,7,3.553099158
2020,3,SURFZONE,7.25,4.090891412
2014,10,SURFZONE,7.5,3.636234864
2015,5,SURFZONE,7.5,3.653834412
2017,9,SURFZONE,7.5,3.426077483
2024,7,SPLASHZONE,7.83333333,4.147225758
2014,7,SURFZONE,8,3.496468773
2021,4,SURFZONE,8,3.955374561
2021,6,SPLASHZONE,8,3.841367816
2013,9,SURFZONE,8.33333333,3.605016243
2015,9,SURFZONE,9,3.722039162
2015,10,SURFZONE,9,3.509986788
2017,4,SURFZONE,9,3.951309661
2017,9,SURFZONE,9,3.426077483
2018,10,SURFZONE,9,3.763239661
2021,7,SURFZONE,9.5,3.695328379
2014,10,SURFZONE,10,3.636234864
2021,5,SPLASHZONE,10,4.017392421
2016,9,SURFZONE,10.5,3.526344052
2017,6,SURFZONE,10.5,3.626220449
2019,8,SPLASHZONE,10.5,3.553099158
2023,7,SURFZONE,10.5,4.412806045
2021,7,SPLASHZONE,10.6666667,3.695328379
2012,9,SPLASHZONE,10.75,3.444143905
2014,4,SURFZONE,10.75,3.896425166
2015,7,SURFZONE,11,3.475282369
2016,10,SURFZONE,11,3.519531508
2022,7,SURFZONE,11.25,4.307317289
2016,8,SURFZONE,11.5,3.272257007
2017,3,SURFZONE,12,3.885588119
2017,4,SPLASHZONE,12,3.951309661
2021,8,SURFZONE,12.5,3.875796565
2012,9,SURFZONE,12.75,3.444143905
2021,9,SURFZONE,12.75,3.882211618
2019,10,SURFZONE,13,3.631084684
2020,8,SPLASHZONE,13,3.507594174
2014,8,SPLASHZONE,13.75,3.406270069
2012,10,SURFZONE,14,3.763267895
2013,9,SPLASHZONE,14,3.605016243
2020,9,SURFZONE,14,3.500635256
2012,6,SURFZONE,14.5,4.095850287
2021,7,SPLASHZONE,14.5,3.695328379
2013,5,SPLASHZONE,15,3.7238841
2015,5,SPLASHZONE,15,3.653834412
2024,7,SPLASHZONE,15.3333333,4.147225758
2016,10,SURFZONE,15.75,3.519531508
2012,3,SURFZONE,16,4.106525148
2013,4,SURFZONE,16,3.779689536
2019,6,SURFZONE,16,3.932356725
2019,7,SURFZONE,16,3.616951405
2020,9,SPLASHZONE,16,3.500635256
2022,7,SPLASHZONE,16.5,4.307317289
2023,9,SURFZONE,16.5,4.394112263
2012,3,SURFZONE,16.75,4.106525148
2012,9,SPLASHZONE,16.75,3.444143905
2016,7,SURFZONE,17.1666667,3.625056235
2013,9,SPLASHZONE,18,3.605016243
2014,4,SPLASHZONE,18,3.896425166
2018,5,SPLASHZONE,18,3.819926147
2013,8,SPLASHZONE,18.25,3.443225491
2013,9,SURFZONE,18.25,3.605016243
2016,9,SURFZONE,18.25,3.526344052
2018,7,SURFZONE,18.5,3.430256072
2020,3,SURFZONE,18.5,4.090891412
2022,3,SURFZONE,18.5,4.215064657
2016,12,SURFZONE,19,3.786159812
2019,8,SURFZONE,19,3.553099158
2012,3,SURFZONE,20,4.106525148
